SITE_ID,SAMPLE_ID,VISIT_NO,INDXSAMP_LDC,SAMPLE_TYPE,SAMPLE_CATEGORY,PRIMESEDT,LDC_ADJ
NLA06608-0061,509577,2,NO,SEDT,P,,14.76832539
NLA06608-0062,512327,1,YES,SEDT,P,1,-29.98463535
NLA06608-0062,512328,1,YES,SEDB,P,,-40.29804172
NLA06608-0062,517477,2,NO,SEDT,P,,-31.17712944
NLA06608-0062,517478,2,NO,SEDB,P,,-36.0605293
NLA06608-0064,514487,1,YES,SEDT,P,1,-18.66664025
NLA06608-0064,514488,1,YES,SEDB,P,,-13.79596736
NLA06608-0064,513797,2,NO,SEDT,P,,-21.23104331
NLA06608-0064,513798,2,NO,SEDB,P,,-23.56864123
NLA06608-0065,507567,1,YES,SEDT,P,1,4.875681158
NLA06608-0065,507568,1,YES,SEDB,P,,6.776748498
