SITE_ID,VISIT_NO,SITE_TYPE,LAKE_SAMP,SAMPLED_CORE,DATECORE,INDXSAMP_CORE,SAMPLE_CATEGORY,SAMPLE_ID,SAMPLE_TYPE,SAMPLE_CLASS,CORE_LENGTH,INTERVAL_FROM,INTERVAL_TO,FLAG_FLD_CORE,COMMENT_FLD_CORE,DATATYPE,VISIT_ID
NLA06608-0019,1,PROB_Lake,Target_Sampled,YES (Both),6/11/2007,YES,P,502678,SEDT,TOP,25,0,1,,,CORE,7496
NLA06608-0019,1,PROB_Lake,Target_Sampled,YES (Both),6/11/2007,YES,P,502677,SEDB,BOT,25,22,23,,,CORE,7496
NLA06608-0019,2,PROB_Lake,Target_Sampled,YES (Both),8/7/2007,NO,P,504738,SEDT,TOP,32,0,1,,,CORE,7497
NLA06608-0019,2,PROB_Lake,Target_Sampled,YES (Both),8/7/2007,NO,P,504737,SEDB,BOT,32,29,30,,,CORE,7497
NLA06608-0020,1,PROB_Lake,Target_Sampled,YES (Top only),6/11/2007,YES,P,517807,SEDT,TOP,32,0,1,F8,SAME SAMP ID AS VISIT 2.,CORE,7498
NLA06608-0020,2,PROB_Lake,Target_Sampled,YES (Top only),7/2/2007,NO,P,517807,SEDT,TOP,37,0,1,IM,SAME SAMP ID AS VISIT 1.,CORE,7499
NLA06608-0021,1,PROB_Lake,Target_Sampled,NO,7/27/2007,NO,P,504937,SEDT,TOP,,,,K,"COULD NOT COLLECT CORE, TOO MUCH WAVE ACTION, CHOPPY CONDITIONS. SECTION ON ALEV CORER WOULD NOT FOLD SAMPLE",CORE,7500
NLA06608-0021,2,PROB_Lake,Target_Sampled,YES (Both),8/30/2007,YES,P,504667,SEDT,TOP,44.5,0,1,IM,"THIS SEQUENCE IS A PRIMARY SAMPLE SEQUENCE FOR VISIT 2, AND NOT A DUPLICATE SERIES, AS NO OTHER SAMPLE SERIES WAS REPORTED FOR VISIT 2.",CORE,7501
NLA06608-0021,2,PROB_Lake,Target_Sampled,YES (Both),8/30/2007,YES,P,504668,SEDB,BOT,44.5,43,44.5,IM,"THIS SEQUENCE IS A PRIMARY SAMPLE SEQUENCE FOR VISIT 2, AND NOT A DUPLICATE SERIES, AS NO OTHER SAMPLE SERIES WAS REPORTED FOR VISIT 2.",CORE,7501
NLA06608-0023,1,PROB_Lake,Target_Sampled,YES (Top only),8/9/2007,YES,P,508957,SEDT,TOP,35,0,1,,,CORE,7502
NLA06608-0023,2,PROB_Lake,Target_Sampled,YES (Top only),9/19/2007,NO,P,516887,SEDT,TOP,36,0,1,,,CORE,7503
NLA06608-0024,1,PROB_Lake,Target_Sampled,YES (Top only),7/11/2007,YES,P,514777,SEDT,TOP,53,0,1,,,CORE,7504
NLA06608-0024,2,PROB_Lake,Target_Sampled,YES (Top only),8/14/2007,NO,P,504167,SEDT,TOP,19,0,1,,,CORE,7505
NLA06608-0025,1,PROB_Lake,Target_Sampled,YES (Top only),6/18/2007,YES,P,514337,SEDT,TOP,45,0,1,,,CORE,7506
NLA06608-0025,2,PROB_Lake,Target_Sampled,YES (Top only),7/18/2007,NO,P,509417,SEDT,TOP,34,0,1,,,CORE,7507
NLA06608-0029,1,PROB_Lake,Target_Sampled,YES (Both),7/2/2007,YES,P,505097,SEDT,TOP,36,0,1,F2,"SURFACE SEDS EXTREMELY THIN, SILTY; DIFFICULT TO REMOVE ALL WATER WITHOUT DISTURBING FLACCULENT.",CORE,7508
NLA06608-0029,1,PROB_Lake,Target_Sampled,YES (Both),7/2/2007,YES,P,505098,SEDB,BOT,36,35,36,F3,LAST 1CM WAS SAMPLED. RUBBER STOPPER ACCIDENTALLY PUSHED UP TOO FAR.,CORE,7508
NLA06608-0029,2,PROB_Lake,Target_Sampled,YES (Both),9/11/2007,NO,P,505358,SEDT,TOP,34,0,1,,,CORE,7509
NLA06608-0029,2,PROB_Lake,Target_Sampled,YES (Both),9/11/2007,NO,P,505138,SEDB,BOT,34,31,32,,,CORE,7509
NLA06608-0031,1,PROB_Lake,Target_Sampled,YES (Top only),6/13/2007,YES,P,515047,SEDT,TOP,31.2,0,1,,,CORE,7510
NLA06608-0031,2,PROB_Lake,Target_Sampled,YES (Top only),9/5/2007,NO,P,509328,SEDT,TOP,35,0,1,,,CORE,7511
NLA06608-0033,1,PROB_Lake,Target_Sampled,YES (Both),7/17/2007,YES,P,506238,SEDT,TOP,30,0,1,,,CORE,7512
NLA06608-0033,1,PROB_Lake,Target_Sampled,YES (Both),7/17/2007,YES,P,506237,SEDB,BOT,30,27,28,,,CORE,7512
NLA06608-0033,2,PROB_Lake,Target_Sampled,YES (Both),8/28/2007,NO,P,517707,SEDT,TOP,53,0,1,,,CORE,7513
NLA06608-0033,2,PROB_Lake,Target_Sampled,YES (Both),8/28/2007,NO,P,517708,SEDB,BOT,53,49,50,,,CORE,7513
NLA06608-0036,1,PROB_Lake,Target_Sampled,NO,,YES,,,,,,,,K,NO CORE SAMPLE COLLECTED,CORE,
NLA06608-0036,2,PROB_Lake,Target_Sampled,NO,7/16/2007,NO,P,513177,SEDT,TOP,,,,K,UNABLE TO TAKE CORE IN CANOE.,CORE,7515
NLA06608-0037,1,PROB_Lake,Target_Sampled,YES (Both),7/13/2007,YES,P,508837,SEDT,TOP,40,0,1,,,CORE,7516
NLA06608-0037,1,PROB_Lake,Target_Sampled,YES (Both),7/13/2007,YES,P,508838,SEDB,BOT,40,37,38,,,CORE,7516
NLA06608-0037,2,PROB_Lake,Target_Sampled,YES (Both),9/5/2007,NO,P,517837,SEDT,TOP,52,0,1,,,CORE,7517
NLA06608-0037,2,PROB_Lake,Target_Sampled,YES (Both),9/5/2007,NO,P,517838,SEDB,BOT,52,49,50,,,CORE,7517
NLA06608-0038,1,PROB_Lake,Target_Sampled,YES (Both),7/12/2007,YES,P,505567,SEDT,TOP,38,0,1,,,CORE,7518
NLA06608-0038,1,PROB_Lake,Target_Sampled,YES (Both),7/12/2007,YES,P,505568,SEDB,BOT,38,35,36,,,CORE,7518
NLA06608-0038,2,PROB_Lake,Target_Sampled,YES (Both),8/27/2007,NO,P,509087,SEDT,TOP,30,0,1,,,CORE,7519
NLA06608-0038,2,PROB_Lake,Target_Sampled,YES (Both),8/27/2007,NO,P,509088,SEDB,BOT,30,27,28,,,CORE,7519
