SAMPLE_TYPE	DATA_COLUMN	LABEL	LEGAL_VALUES	RANGE_HIGH	RANGE_LOW	UNITS
CHEM	NITRITE_N_RESULT	Analyte value for Nitrite as N				
CHEM	NITRITE_N_RL	Reporting limit for Nitrite as N				
CHEM	NITRITE_N_BATCH_ID	Batch ID from lab for Nitrite as N				
CHEM	NITRITE_N_UNITS	Units for Nitrite as N				
CHEM	NITRITE_N_LAB_SAMPLE_ID	Laboratory Sample ID for Nitrite as N				
CHEM	NITRITE_N_LAB_FLAG	Flag from laboratory for Nitrite as N				
CHEM	SILICA_DATE_ANALYZED	Date of sample analysis for Silica				
CHEM	SILICA_HOLDING_TIME	Sample holding time for Silica				
CHEM	SILICA_MDL	Minimum detection limit of analyte for Silica				
CHEM	SILICA_QA_FLAG	QA flag associated with sample for Silica				
CHEM	SILICA_RESULT	Analyte value for Silica				
CHEM	SILICA_RL	Reporting limit for Silica				
CHEM	SILICA_BATCH_ID	Batch ID from lab for Silica				
CHEM	SILICA_FLAG	Flag for Silica				
CHEM	SILICA_UNITS	Units for Silica				
CHEM	SILICA_LAB_SAMPLE_ID	Laboratory Sample ID for Silica				
CHEM	SILICA_LAB_FLAG	Flag from laboratory for Silica				
CHEM	SULFATE_DATE_ANALYZED	Date of sample analysis for Sulfate				
CHEM	SULFATE_HOLDING_TIME	Sample holding time for Sulfate				
CHEM	SULFATE_MDL	Minimum detection limit of analyte for Sulfate				
CHEM	SULFATE_QA_FLAG	QA flag associated with sample for Sulfate				
CHEM	SULFATE_RESULT	Analyte value for Sulfate				
CHEM	SULFATE_RL	Reporting limit for Sulfate				
CHEM	SULFATE_BATCH_ID	Batch ID from lab for Sulfate				
CHEM	SULFATE_FLAG	Flag for Sulfate				
CHEM	SULFATE_UNITS	Units for Sulfate				
CHEM	SULFATE_LAB_SAMPLE_ID	Laboratory Sample ID for Sulfate				
CHEM	SULFATE_LAB_FLAG	Flag from laboratory for Sulfate				
CHEM	ALUMINUM_DATE_ANALYZED	Date of sample analysis for Aluminum				
CHEM	ALUMINUM_HOLDING_TIME	Sample holding time for Aluminum				
CHEM	ALUMINUM_MDL	Minimum detection limit of analyte for Aluminum				
CHEM	ALUMINUM_QA_FLAG	QA flag associated with sample for Aluminum				
CHEM	ALUMINUM_RESULT	Analyte value for Aluminum				
CHEM	ALUMINUM_RL	Reporting limit for Aluminum				
CHEM	ALUMINUM_BATCH_ID	Batch ID from lab for Aluminum				
CHEM	ALUMINUM_UNITS	Units for Aluminum				
CHEM	ALUMINUM_LAB_SAMPLE_ID	Laboratory Sample ID for Aluminum				
CHEM	ALUMINUM_LAB_FLAG	Flag from laboratory for Aluminum				
CHEM	CALCIUM_DATE_ANALYZED	Date of sample analysis for Calcium				
CHEM	CALCIUM_HOLDING_TIME	Sample holding time for Calcium				
CHEM	CALCIUM_MDL	Minimum detection limit of analyte for Calcium				
CHEM	CALCIUM_QA_FLAG	QA flag associated with sample for Calcium				
CHEM	CALCIUM_RESULT	Analyte value for Calcium				
CHEM	CALCIUM_RL	Reporting limit for Calcium				
CHEM	CALCIUM_BATCH_ID	Batch ID from lab for Calcium				
CHEM	CALCIUM_FLAG	Flag for Calcium				
CHEM	CALCIUM_UNITS	Units for Calcium				
CHEM	CALCIUM_LAB_SAMPLE_ID	Laboratory Sample ID for Calcium				
CHEM	CALCIUM_LAB_FLAG	Flag from laboratory for Calcium				
CHEM	AMMONIA_N_DATE_ANALYZED	Date of sample analysis for Ammonia as N				
CHEM	AMMONIA_N_HOLDING_TIME	Sample holding time for Ammonia as N				
CHEM	AMMONIA_N_MDL	Minimum detection limit of analyte for Ammonia as N				
CHEM	AMMONIA_N_QA_FLAG	QA flag associated with sample for Ammonia as N				
CHEM	AMMONIA_N_RESULT	Analyte value for Ammonia as N				
CHEM	AMMONIA_N_RL	Reporting limit for Ammonia as N				
CHEM	AMMONIA_N_BATCH_ID	Batch ID from lab for Ammonia as N				
CHEM	AMMONIA_N_UNITS	Units for Ammonia as N				
CHEM	AMMONIA_N_LAB_SAMPLE_ID	Laboratory Sample ID for Ammonia as N				
CHEM	AMMONIA_N_LAB_FLAG	Flag from laboratory for Ammonia as N				
CHEM	DOC_DATE_ANALYZED	Date of sample analysis for Dissolved Organic Carbon				
CHEM	DOC_HOLDING_TIME	Sample holding time for Dissolved Organic Carbon				
CHEM	DOC_MDL	Minimum detection limit of analyte for Dissolved Organic Carbon				
CHEM	DOC_QA_FLAG	QA flag associated with sample for Dissolved Organic Carbon				
CHEM	DOC_RESULT	Analyte value for Dissolved Organic Carbon				
CHEM	DOC_RL	Reporting limit for Dissolved Organic Carbon				
CHEM	DOC_BATCH_ID	Batch ID from lab for Dissolved Organic Carbon				
CHEM	DOC_FLAG	Flag for Dissolved Organic Carbon				
CHEM	DOC_UNITS	Units for Dissolved Organic Carbon				
CHEM	DOC_LAB_SAMPLE_ID	Laboratory Sample ID for Dissolved Organic Carbon				
CHEM	DOC_LAB_FLAG	Flag from laboratory for Dissolved Organic Carbon				
CHEM	SODIUM_DATE_ANALYZED	Date of sample analysis for Sodium				
CHEM	SODIUM_HOLDING_TIME	Sample holding time for Sodium				
CHEM	SODIUM_MDL	Minimum detection limit of analyte for Sodium				
CHEM	SODIUM_QA_FLAG	QA flag associated with sample for Sodium				
CHEM	SODIUM_RESULT	Analyte value for Sodium				
CHEM	SODIUM_RL	Reporting limit for Sodium				
CHEM	SODIUM_BATCH_ID	Batch ID from lab for Sodium				
CHEM	SODIUM_FLAG	Flag for Sodium				
CHEM	SODIUM_UNITS	Units for Sodium				
CHEM	SODIUM_LAB_SAMPLE_ID	Laboratory Sample ID for Sodium				
CHEM	TSS_DATE_ANALYZED	Date of sample analysis for Total Suspended Solids				
CHEM	TSS_HOLDING_TIME	Sample holding time for Total Suspended Solids				
CHEM	TSS_MDL	Minimum detection limit of analyte for Total Suspended Solids				
CHEM	TSS_QA_FLAG	QA flag associated with sample for Total Suspended Solids				
CHEM	TSS_RESULT	Analyte value for Total Suspended Solids				
CHEM	TSS_RL	Reporting limit for Total Suspended Solids				
CHEM	TSS_BATCH_ID	Batch ID from lab for Total Suspended Solids				
CHEM	TSS_FLAG	Flag for Total Suspended Solids				
CHEM	TSS_UNITS	Units for Total Suspended Solids				
CHEM	TSS_LAB_SAMPLE_ID	Laboratory Sample ID for Total Suspended Solids				
CHEM	MAGNESIUM_DATE_ANALYZED	Date of sample analysis for Magnesium				
CHEM	MAGNESIUM_HOLDING_TIME	Sample holding time for Magnesium				
CHEM	MAGNESIUM_MDL	Minimum detection limit of analyte for Magnesium				
CHEM	MAGNESIUM_QA_FLAG	QA flag associated with sample for Magnesium				
CHEM	MAGNESIUM_RESULT	Analyte value for Magnesium				
CHEM	MAGNESIUM_RL	Reporting limit for Magnesium				
CHEM	MAGNESIUM_BATCH_ID	Batch ID from lab for Magnesium				
CHEM	MAGNESIUM_FLAG	Flag for Magnesium				
CHEM	MAGNESIUM_UNITS	Units for Magnesium				
CHEM	MAGNESIUM_LAB_SAMPLE_ID	Laboratory Sample ID for Magnesium				
CHEM	MAGNESIUM_LAB_FLAG	Flag from laboratory for Magnesium				
CHEM	POTASSIUM_DATE_ANALYZED	Date of sample analysis for Potassium				
CHEM	POTASSIUM_HOLDING_TIME	Sample holding time for Potassium				
